id;nome;id_estado_fk;;;
;Jardim Lageado;29;;;
;Jardim Lourdes;29;;;
;Vila Lourdes;29;;;
;Vila Luzimar;29;;;
;Vila Minerva;29;;;
;Jardim Moreno;29;;;
;Vila Nancy;29;;;
;Vila Odete;29;;;
;Conjunto dos Pinheiros;29;;;
;Jardim São Paulo;29;;;
;PARQUE DO CARMO;29;;;
;Vila Alto da Boa Vista;29;;;
;Fazenda Caguaçu;29;;;
;Cohab Fazenda do Carmo;29;;;
;Fazenda do Carmo;29;;;
;Parque do Carmo;29;;;
;Jardim Elian;29;;;
;Conjunto Habitacional Gleba do Pêssego;29;;;
;Jardim Marabá;29;;;
;Fazenda Nossa Senhora do Carmo;29;;;
;Jardim Nossa Senhora do Carmo;29;;;
;Profilurb Pêssego;29;;;
;Vila Santa Isabel;29;;;
;Jardim Santa Marcelina;29;;;
;Vila São Vicente;29;;;
;SÃO MATEUS;29;;;
;Vila Alzira;29;;;
;Conjunto Habitacional Barreira Grande;29;;;
;Cidade Centenário;29;;;
;Jardim Cinco de Julho;29;;;
;Parque Colonial;29;;;
;Jardim Egle;29;;;
;Jardim Imperador;29;;;
;Jardim Itamarati;29;;;
;Jardim Itapólis;29;;;
;Conjunto Habitacional Fazenda Juta;29;;;
;Jardim Laranjal;29;;;
;Jardim Nove De Julho;29;;;
;Vila Paraguassu;29;;;
;Cidade Quarto Centenário;29;;;
;Jardim Ricardo;29;;;
;Jardim Santa Adélia;29;;;
;Cidade Satélite Santa Barbara;29;;;
;Jardim Santa Maria;29;;;
;Vila Santo Antonio;29;;;
;Jardim São Cristóvão;29;;;
;Jardim São Jose;29;;;
;Parque São Lourenço;29;;;
;Cidade São Mateus;29;;;
;Jardim Tietê;29;;;
;Jardim Três Marias;29;;;
;Jardim Valquíria;29;;;
;Jardim Conquista;29;;;
;Jardim Alto Pedroso;29;;;
;Vila Americana;29;;;
;Vila Aparecida;29;;;
;Jardim Beatriz;29;;;
;Vila Carolina;29;;;
;Vila Chavantes;29;;;
;Vila Danúbio Azul;29;;;
;Vila Doutor Eiras;29;;;
;Vila Giordano;29;;;
;Jardim Ipanema;29;;;
;Vila Itaquera de Baixo;29;;;
;Jardim Lageado;29;;;
;Jardim Lapema;29;;;
;Jardim Lucinda;29;;;
;Jardim Nair;29;;;
;Cidade Nitro Operária;29;;;
;Vila Nova Itaquera de Baixo;29;;;
;Cidade Nova São Miguel;29;;;
;Vila Pedroso;29;;;
;Jardim Planalto;29;;;
;Cohab Vila Progresso 1;29;;;
;Cohab Vila Progresso 2;29;;;
;Jardim Progresso;29;;;
;Vila Raquel;29;;;
;Vila Rosaria;29;;;
;São Miguel Paulista;29;;;
;Cidade São Miguel;29;;;
;Cohab São Miguel;29;;;
;Jardim São Sebastião;29;;;
;Vila São Silvestre;29;;;
;Jardim São Vicente;29;;;
;Vila Sinha;29;;;
;Vila Siqueira;29;;;
;Parque Sônia;29;;;
;Jardim Ubirajara;29;;;
;Vila Xavantes;29;;;
;SÃO RAFAEL;29;;;
;Vila Bela;29;;;
;Jardim Buriti;29;;;
;Jardim Vila Carrão;29;;;
;Carrãozinho;29;;;
;Jardim Colorado;29;;;
;Jardim Ester;29;;;
;Conjunto Promorar Rio Claro;29;;;
;Jardim Rodolfo Pirani;29;;;
;Jardim Santo André;29;;;
;Conjunto Habitacional Jardim Sao Francisco;29;;;
;Jardim São Francisco;29;;;
;Parque São Rafael;29;;;
;Jardim Vera Cruz;29;;;
;VILA CURUÇÁ;29;;;
;Vila Barbosa;29;;;
;Jardim Bartira;29;;;
;Jardim Campos;29;;;
;Jardim Carolina;29;;;
;Vila Clara;29;;;
;Conjunto Habitacional Vila Conceição;29;;;
;Vila Conceição;29;;;
;Vila Curuçá;29;;;
;Parque Residencial D'abril;29;;;
;Conjunto Habitacional Dom Joao Nery;29;;;
;Parque Dom Joao Nery;29;;;
;Jardim Eva;29;;;
;Chácara Figueira Grande;29;;;
;Jardim Fluminense;29;;;
;Jardim Gianetti;29;;;
;Jardim Heloisa;29;;;
;Parque Industrial;29;;;
;Jardim dos Ipês;29;;;
;Jardim Jaraguá;29;;;
;Jardim Miragaia;29;;;
;Conjunto Habitacional Nazaré;29;;;
;Jardim Nazareth;29;;;
;Vila Nova Curuca;29;;;
;Jardim Quisisana;29;;;
;Jardim Robru;29;;;
;Jardim Rosina;29;;;
;Parque Santa Rita;29;;;
;Jardim Santo Antonio;29;;;
;Jardim Santo Elias;29;;;
;Jardim Senice;29;;;
;Jardim Silva Teles;29;;;
;Vila Simone;29;;;
;Vila Stela;29;;;
;VILA JACUÍ;29;;;
;Jardim das Camélias;29;;;
;Vila Carolina;29;;;
;Jardim da Casa Pintada;29;;;
;Parque Cruzeiro do Sul;29;;;
;Vila Jacuí;29;;;
;Bairro do Limoeiro;29;;;
;Conjunto Habitacional Limoeiro;29;;;
;Vila Monte Santo;29;;;
;Vila Norma;29;;;
;Jardim Pedro Jose Nunes;29;;;
;Jardim Planalto;29;;;
;Vila Reis;29;;;
;Jardim Ruth;29;;;
;Vila Santa Inês;29;;;
;Jardim Santa Maria;29;;;
;Jardim Santana;29;;;
;Cohab São Carlos;29;;;
;Jardim São Carlos;29;;;
;Jardim São Joao;29;;;
;Vila Siqueira;29;;;
;Vila Síria;29;;;
;Parque Sônia;29;;;
